instance,split,policy,gain,mean_decodes,mean_wall_seconds,unspent_runs
Mk01,explore,fixed,0.0873750717156946,69.55555555555556,0.359379788890052,20
Mk01,explore,round,0.09408579187086191,95.96296296296296,0.139698077778222,1
Mk01,explore,stop,0.1134473257692077,95.85185185185185,0.11058670370376031,4
Mk01,explore,feedback,0.10979337046333511,96.0,0.1306926555555913,0
Mk02,explore,fixed,0.14888606677211477,95.77777777777777,0.11554149629686165,1
Mk02,explore,round,0.10034509441979586,95.77777777777777,0.1401581888887988,6
Mk02,explore,stop,0.14574822895621026,95.88888888888889,0.10195671111082279,3
Mk02,explore,feedback,0.10849650812552723,95.96296296296296,0.1300537888891995,1
Mk03,validation,fixed,0.03732897834398405,96.0,0.2966483370371322,0
Mk03,validation,round,0.02716929647901871,95.92592592592592,0.4075336185191258,2
Mk03,validation,stop,0.037919886513669475,95.92592592592592,0.2993471814808328,2
Mk03,validation,feedback,0.03147999168613585,95.88888888888889,0.3945895518519575,1
Mk04,explore,fixed,0.05786852077694304,88.33333333333333,0.3164809814808433,8
Mk04,explore,round,0.07050970836453004,95.85185185185185,0.2329420185191406,4
Mk04,explore,stop,0.06451904088087003,95.92592592592592,0.1758624370381262,2
Mk04,explore,feedback,0.07497433822025952,95.96296296296296,0.21025808148152902,1
Mk05,explore,fixed,0.07157365284965979,88.51851851851852,0.4261276481475862,11
Mk05,explore,round,0.060901611021206496,95.81481481481481,0.27267217777800934,5
Mk05,explore,stop,0.0777239694238598,95.85185185185185,0.20525690370360045,4
Mk05,explore,feedback,0.06484625520022326,95.92592592592592,0.23644230370269656,2
Mk06,validation,fixed,0.05271777395794249,96.0,0.29441267037058155,0
Mk06,validation,round,0.041870708746193336,95.92592592592592,0.40155916296283034,2
Mk06,validation,stop,0.051994222545891026,95.96296296296296,0.30122545555652186,1
Mk06,validation,feedback,0.05436424418297987,95.96296296296296,0.3441698555554332,1
