group,features,instance,state,selected_action,fixed_action,selected_utility,fixed_utility,random_utility,hindsight_oracle_utility,prediction_seconds
S,simple,Mk04,Mk04-33-2,0.25-N6-b4,0.5-N3-b4,0.0,0.00013605824788214026,0.00019992665051235645,0.0013995213779251833,0.0002756000001227221
S,cross,Mk04,Mk04-33-2,0.25-N6-b4,0.5-N3-b4,0.0,0.00013605824788214026,0.00019992665051235645,0.0013995213779251833,0.00043520000008356874
S,simple,Mk05,Mk05-11-0,0.25-N5-b4,0.5-N5-b4,0.000756961007472551,0.0008012018011024356,0.00022579946249697482,0.0009203294580595405,0.00028090000000702275
S,cross,Mk05,Mk05-11-0,0.25-N5-b4,0.5-N5-b4,0.000756961007472551,0.0008012018011024356,0.00022579946249697482,0.0009203294580595405,0.000461399999949208
S,simple,Mk05,Mk05-11-1,0.25-N5-b4,0.5-N5-b4,0.0009496338055743785,0.00011468503054237007,0.00019187022918292735,0.0009496338055743785,0.0002766000000065105
S,cross,Mk05,Mk05-11-1,0.25-N5-b4,0.5-N5-b4,0.0009496338055743785,0.00011468503054237007,0.00019187022918292735,0.0009496338055743785,0.0004856999998992251
S,simple,Mk05,Mk05-11-2,0.25-N5-b4,0.5-N5-b4,0.00023262611009684927,0.0004652522201937031,0.0001700494955590154,0.0006722355253289808,0.00026800000000548607
S,cross,Mk05,Mk05-11-2,0.25-N5-b4,0.5-N5-b4,0.00023262611009684927,0.0004652522201937031,0.0001700494955590154,0.0006722355253289808,0.0004301999999825057
S,simple,Mk05,Mk05-22-0,0.25-N5-b4,0.5-N5-b4,0.0010190943381235351,4.119968255444917e-18,0.00048514172056149195,0.0018064853406848003,0.00026230000003124587
S,cross,Mk05,Mk05-22-0,0.25-N5-b4,0.5-N5-b4,0.0010190943381235351,4.119968255444917e-18,0.00048514172056149195,0.0018064853406848003,0.00043740000000980217
S,simple,Mk05,Mk05-22-1,0.25-N5-b4,0.5-N5-b4,0.0016209720030420807,0.0005937505990304978,0.00039660822909690026,0.0016209720030420807,0.00026359999992564553
