state,instance,seed,generation,fraction,k,n,b,rep,group,action,rng_seed,region_seconds,attempts,evaluated,outside,noop,duplicate,decodes,gain,gain_per_decode,gain_per_budget,wall_seconds
Mk01-11-0,Mk01,11,0,0.25,14,1,8,1,A,0.25-N1-b8,14696330386700501756,7.390000007490016e-05,320,1,318,1,0,1,0.007436320628836252,0.007436320628836252,0.0009295400786045315,0.009077900000079353
Mk01-11-0,Mk01,11,0,0.25,14,1,8,1,C,0.25-N1-b8,14696330386700501756,4.1300000020783045e-05,320,0,319,1,0,0,0.0,,0.0,0.008573500000011336
Mk01-11-0,Mk01,11,0,0.25,14,1,8,2,R0,0.25-N1-b8,9961924897358870879,3.630000003340683e-05,320,1,314,5,0,1,0.01047906578240688,0.01047906578240688,0.00130988322280086,0.008520299999986491
Mk01-11-0,Mk01,11,0,0.25,14,1,8,2,R1,0.25-N1-b8,9961924897358870879,4.4399999978850246e-05,320,1,314,5,0,1,0.0,0.0,0.0,0.015746300000046176
Mk01-11-0,Mk01,11,0,0.25,14,1,8,2,S,0.25-N1-b8,9961924897358870879,3.6799999975301034e-05,320,1,314,5,0,1,0.0,0.0,0.0,0.009637200000042867
Mk01-11-0,Mk01,11,0,0.25,14,1,8,2,A,0.25-N1-b8,9961924897358870879,3.749999996216502e-05,320,2,313,5,0,2,0.0,0.0,0.0,0.01042419999998856
Mk01-11-0,Mk01,11,0,0.25,14,1,8,2,C,0.25-N1-b8,9961924897358870879,3.890000004957983e-05,320,2,313,5,0,2,0.0,0.0,0.0,0.009622299999932693
Mk01-11-0,Mk01,11,0,0.25,14,1,8,3,R0,0.25-N1-b8,8207351888325197024,3.130000004603062e-05,320,1,315,4,0,1,0.0,0.0,0.0,0.009374900000011621
Mk01-11-0,Mk01,11,0,0.25,14,1,8,3,R1,0.25-N1-b8,8207351888325197024,5.9199999896009103e-05,320,0,316,4,0,0,0.0,,0.0,0.008639399999992747
Mk01-11-0,Mk01,11,0,0.25,14,1,8,3,S,0.25-N1-b8,8207351888325197024,6.599999994705286e-05,320,2,314,4,0,2,0.0,0.0,0.0,0.010815700000080142
Mk01-11-0,Mk01,11,0,0.25,14,1,8,3,A,0.25-N1-b8,8207351888325197024,3.810000009707437e-05,320,1,315,4,0,1,0.0,0.0,0.0,0.009256199999981618
Mk01-11-0,Mk01,11,0,0.25,14,1,8,3,C,0.25-N1-b8,8207351888325197024,5.459999999857246e-05,320,2,314,4,0,2,0.0,0.0,0.0,0.010145500000021457
Mk01-11-0,Mk01,11,0,0.25,14,2,4,0,R0,0.25-N2-b4,11879687707191907126,3.249999997478881e-05,160,0,160,0,0,0,0.0,,0.0,0.0053489000000581655
Mk01-11-0,Mk01,11,0,0.25,14,2,4,0,R1,0.25-N2-b4,11879687707191907126,0.0001085999999759224,160,0,160,0,0,0,0.0,,0.0,0.005646899999987909
Mk01-11-0,Mk01,11,0,0.25,14,2,4,0,S,0.25-N2-b4,11879687707191907126,3.869999989092321e-05,160,0,160,0,0,0,0.0,,0.0,0.005276299999991352
Mk01-11-0,Mk01,11,0,0.25,14,2,4,0,A,0.25-N2-b4,11879687707191907126,2.8400000019246363e-05,160,0,160,0,0,0,0.0,,0.0,0.005438700000013341
Mk01-11-0,Mk01,11,0,0.25,14,2,4,0,C,0.25-N2-b4,11879687707191907126,3.100000003541936e-05,160,0,160,0,0,0,0.0,,0.0,0.0055677999999943495
Mk01-11-0,Mk01,11,0,0.25,14,2,4,1,R0,0.25-N2-b4,3066955024430834491,3.219999996417755e-05,160,0,160,0,0,0,0.0,,0.0,0.005266799999958494
