instance,event_kind,event_time,event_target,seed,operator_id,source,decode_budget,decode_count,feasible_count,feasible_rate,changed_count,min_makespan,min_tec,hv,runtime_seconds,error_count
Mk02,order_cancellation,50,2,44,llm_m1_transport_rewrite,llm,20,20,20,1.0,20,189.0,1689.6,0.19192022049648308,0.025217099999281345,0
Mk02,order_cancellation,50,2,55,N1,baseline,20,20,20,1.0,20,160.44,1521.406,0.10129020023008614,0.026179200000115088,0
Mk02,order_cancellation,50,2,55,N2,baseline,20,20,20,1.0,20,156.35,1478.599,0.3572732420536975,0.026818500000445056,0
Mk02,order_cancellation,50,2,55,N3,baseline,20,20,20,1.0,20,159.44,1482.0040000000001,0.2558185271058641,0.026583699998809607,0
Mk02,order_cancellation,50,2,55,N4,baseline,20,20,20,1.0,20,165.76,1528.7359999999999,0.025140045420136436,0.04381660000035481,0
Mk02,order_cancellation,50,2,55,N5,baseline,20,20,20,1.0,20,165.76,1532.333,0.021409994503956073,0.025942899999790825,0
Mk02,order_cancellation,50,2,55,N6,baseline,20,20,20,1.0,20,151.32,1469.6879999999999,0.577208289787227,0.04387520000091172,0
Mk02,order_cancellation,50,2,55,llm_i1_machine_speed,llm,20,20,20,1.0,20,165.76,1543.336,0.010000000000000018,0.027650600000924896,0
Mk02,order_cancellation,50,2,55,llm_e1_order_agv,llm,20,20,20,1.0,20,140.35,1446.903,1.200792790975301,0.02973810000003141,0
Mk02,order_cancellation,50,2,55,llm_e2_machine_transport,llm,20,20,20,1.0,20,165.76,1521.984,0.03214179793224324,0.027186400000573485,0
Mk02,order_cancellation,50,2,55,llm_m1_transport_rewrite,llm,20,20,20,1.0,20,158.44,1513.676,0.1581683675598813,0.025705499998366577,0
Mk07,order_cancellation,50,2,11,N1,baseline,20,20,20,1.0,20,409.83000000000004,5161.652000000001,1.2100000000000002,0.03979960000106075,0
Mk07,order_cancellation,50,2,11,N2,baseline,20,20,20,1.0,20,449.97,5257.384,0.5192801114507553,0.04144590000032622,0
Mk07,order_cancellation,50,2,11,N3,baseline,20,20,20,1.0,20,440.87,5215.46,0.6933251004755772,0.039402200000040466,0
Mk07,order_cancellation,50,2,11,N4,baseline,20,20,20,1.0,14,474.96,5328.94,0.20982679425043085,0.07336360000044806,0
Mk07,order_cancellation,50,2,11,N5,baseline,20,20,20,1.0,20,442.97,5323.755,0.44458638969334024,0.03961359999993874,0
Mk07,order_cancellation,50,2,11,N6,baseline,20,20,20,1.0,20,496.31,5499.54,0.010000000000000018,0.07626340000024356,0
Mk07,order_cancellation,50,2,11,llm_i1_machine_speed,llm,20,20,20,1.0,20,490.96,5451.167,0.039359310810936875,0.04214070000125503,0
Mk07,order_cancellation,50,2,11,llm_e1_order_agv,llm,20,20,20,1.0,20,444.35,5242.546,0.6031290097254511,0.05602299999918614,0
Mk07,order_cancellation,50,2,11,llm_e2_machine_transport,llm,20,20,20,1.0,20,487.49,5450.638,0.04943242631663389,0.04175729999951727,0
Mk07,order_cancellation,50,2,11,llm_m1_transport_rewrite,llm,20,20,20,1.0,20,449.47,5311.1050000000005,0.4219890599309866,0.03938019999986864,0
Mk07,order_cancellation,50,2,22,N1,baseline,20,20,20,1.0,20,362.0,4978.0,1.1770164917541233,0.04198539999924833,0
Mk07,order_cancellation,50,2,22,N2,baseline,20,20,20,1.0,20,360.0,4993.2,1.1496770993054937,0.04294020000088494,0
Mk07,order_cancellation,50,2,22,N3,baseline,20,20,20,1.0,20,371.88,5063.42,0.7299694984292829,0.04183300000113377,0
Mk07,order_cancellation,50,2,22,N4,baseline,20,20,20,1.0,20,392.29,5035.88,0.5465305707388032,0.07555130000037025,0
Mk07,order_cancellation,50,2,22,N5,baseline,20,20,20,1.0,20,380.23,5087.22,0.5624338538767051,0.04262949999974808,0
Mk07,order_cancellation,50,2,22,N6,baseline,20,20,20,1.0,20,426.70000000000005,5255.175,0.010000000000000018,0.07655889999841747,0
Mk07,order_cancellation,50,2,22,llm_i1_machine_speed,llm,20,20,20,1.0,20,400.41,5119.3150000000005,0.29162911463903596,0.04488570000103209,0
Mk07,order_cancellation,50,2,22,llm_e1_order_agv,llm,20,20,20,1.0,20,368.5,4990.5,1.0259595452566854,0.06017050000082236,0
Mk07,order_cancellation,50,2,22,llm_e2_machine_transport,llm,20,20,20,1.0,20,387.0,5067.46,0.5403416281396601,0.04421439999896393,0
Mk07,order_cancellation,50,2,22,llm_m1_transport_rewrite,llm,20,20,20,1.0,20,378.0,5050.5560000000005,0.6958443032474914,0.04097580000052403,0
Mk07,order_cancellation,50,2,33,N1,baseline,20,20,20,1.0,20,341.0,4833.7,0.6861859450457177,0.04522209999959159,0
Mk07,order_cancellation,50,2,33,N2,baseline,20,20,20,1.0,20,342.0,4858.7,0.6081182601495598,0.043234800001300755,0
Mk07,order_cancellation,50,2,33,N3,baseline,20,20,20,1.0,20,358.23,4665.32,0.7957815613113562,0.047130499999184394,0
Mk07,order_cancellation,50,2,33,N4,baseline,20,20,20,1.0,19,367.32,4880.9800000000005,0.2986505757238592,0.10106140000061714,0
Mk07,order_cancellation,50,2,33,N5,baseline,20,20,20,1.0,20,368.67,4967.3,0.1686576410729284,0.04169229999934032,0
Mk07,order_cancellation,50,2,33,N6,baseline,20,20,20,1.0,20,392.65,5047.5,0.010732467532467713,0.07373530000040773,0
Mk07,order_cancellation,50,2,33,llm_i1_machine_speed,llm,20,20,20,1.0,20,392.23,5019.02,0.019509066915696077,0.043973299998469884,0
Mk07,order_cancellation,50,2,33,llm_e1_order_agv,llm,20,20,20,1.0,20,337.44,4844.86,0.6970285714285729,0.09704079999937676,0
Mk07,order_cancellation,50,2,33,llm_e2_machine_transport,llm,20,20,20,1.0,20,392.23,5050.320000000001,0.010760731751494244,0.09780399999908695,0
Mk07,order_cancellation,50,2,33,llm_m1_transport_rewrite,llm,20,20,20,1.0,20,375.23,4997.72,0.09832234890630125,0.04218899999978021,0
Mk07,order_cancellation,50,2,44,N1,baseline,20,20,20,1.0,20,395.56,5158.323,1.2009972728704987,0.03896759999952337,0
Mk07,order_cancellation,50,2,44,N2,baseline,20,20,20,1.0,20,420.23,5200.1,0.7135279898854912,0.039859799999248935,0
Mk07,order_cancellation,50,2,44,N3,baseline,20,20,20,1.0,20,424.76,5238.37,0.5568124727416137,0.038478199998280616,0
Mk07,order_cancellation,50,2,44,N4,baseline,20,20,20,1.0,20,416.06,5210.29,0.7388722049166542,0.07065669999974489,0
Mk07,order_cancellation,50,2,44,N5,baseline,20,20,20,1.0,20,431.32,5288.88,0.37195300303220435,0.03779770000073768,0
