state,instance,split,generation,seed,rep,policy,decodes,budget,gain,batches,evaluated,feature_seconds,wall_seconds
Mk01-101-0,Mk01,explore,0,101,0,fixed,69,96,0.07409123268821306,96,69,0.0169232000480406,0.4528225000030943
Mk01-101-0,Mk01,explore,0,101,0,round,96,96,0.12826357981134132,37,68,0.006320699998468626,0.1374054999978398
Mk01-101-0,Mk01,explore,0,101,0,stop,96,96,0.17286789756171417,25,90,0.0041906999904313125,0.10995120000006864
Mk01-101-0,Mk01,explore,0,101,0,feedback,96,96,0.19160268437133388,30,79,0.006161300007079262,0.13971679999667685
Mk01-101-0,Mk01,explore,0,101,1,fixed,68,96,0.0737125564522427,96,68,0.016787200009275693,0.45630950000486337
Mk01-101-0,Mk01,explore,0,101,1,round,96,96,0.16715658109786385,37,68,0.006401099977665581,0.14518390000012005
Mk01-101-0,Mk01,explore,0,101,1,stop,96,96,0.16284335411436252,25,90,0.004450499989616219,0.10661719999916386
Mk01-101-0,Mk01,explore,0,101,1,feedback,96,96,0.23486224519283472,29,80,0.005320099968230352,0.1235101000056602
Mk01-101-0,Mk01,explore,0,101,2,fixed,65,96,0.08608935917813358,96,65,0.01620679995539831,0.44234059999871533
Mk01-101-0,Mk01,explore,0,101,2,round,96,96,0.14849001365996223,37,65,0.006335499994747806,0.14521320000494597
Mk01-101-0,Mk01,explore,0,101,2,stop,96,96,0.15725415877506735,25,90,0.004300000015064143,0.10637030000361847
Mk01-101-0,Mk01,explore,0,101,2,feedback,96,96,0.11913884113783872,30,74,0.0055389000262948684,0.12862540000060108
Mk01-101-9,Mk01,explore,9,101,0,fixed,96,96,0.12603090179676507,25,96,0.004345100009231828,0.11188290000427514
Mk01-101-9,Mk01,explore,9,101,0,round,96,96,0.07996994976013685,37,66,0.006699800032947678,0.13962240000546444
Mk01-101-9,Mk01,explore,9,101,0,stop,96,96,0.10905066945061757,28,84,0.004762500022479799,0.11089280000305735
Mk01-101-9,Mk01,explore,9,101,0,feedback,96,96,0.1706638751016816,29,80,0.005766400005086325,0.13206350000109524
Mk01-101-9,Mk01,explore,9,101,1,fixed,94,96,0.15267589162225823,96,94,0.017361800055368803,0.28567750000365777
