instance,split,group,gain_per_budget,mean_gain,decodes,attempts,evaluated,zero_evaluation
Mk01,explore,R,0.00033256096944804005,0.0026604877555843204,596,12455,374,33
Mk01,explore,S,0.0003075767893025399,0.002460614314420319,597,12883,375,26
Mk01,explore,A,0.0004875477873141246,0.003900382298512997,597,12620,375,29
Mk01,explore,C,0.0004124133096249191,0.003299306476999353,603,12913,378,33
Mk01,explore,W,0.0004574295392187919,0.003659436313750335,601,12928,384,30
Mk01,explore,L,0.0005419986673771244,0.004335989339016995,631,12306,412,27
