group,seed_count,mean_improvement_rate,mean_best_makespan,mean_best_energy,mean_wall_time,go
direct_load,10,0.516,2797.7600000000007,11127.785000000002,0.06286519999994197,
coupled_propagation,10,0.374,2914.1000000000004,11453.240000000002,0.0645983199996408,False
random,10,0.626,2939.8700000000003,11473.85,0.06356876000099873,
