state,instance,split,generation,seed,rep,policy,decodes,budget,gain,batches,evaluated,feature_seconds,wall_seconds
Mk01-101-0,Mk01,explore,0,101,0,fixed,69,96,0.07409123268821306,96,69,0.0169232000480406,0.4528225000030943
Mk01-101-0,Mk01,explore,0,101,0,round,96,96,0.12826357981134132,37,68,0.006320699998468626,0.1374054999978398
Mk01-101-0,Mk01,explore,0,101,0,stop,96,96,0.17286789756171417,25,90,0.0041906999904313125,0.10995120000006864
Mk01-101-0,Mk01,explore,0,101,0,feedback,96,96,0.2021049865073528,30,85,0.005102299983263947,0.11956110000028275
Mk01-101-0,Mk01,explore,0,101,1,fixed,68,96,0.0737125564522427,96,68,0.016787200009275693,0.45630950000486337
Mk01-101-0,Mk01,explore,0,101,1,round,96,96,0.16715658109786385,37,68,0.006401099977665581,0.14518390000012005
Mk01-101-0,Mk01,explore,0,101,1,stop,96,96,0.16284335411436252,25,90,0.004450499989616219,0.10661719999916386
Mk01-101-0,Mk01,explore,0,101,1,feedback,96,96,0.2089904593940687,30,88,0.005162600027688313,0.12092570000095293
Mk01-101-0,Mk01,explore,0,101,2,fixed,65,96,0.08608935917813358,96,65,0.01620679995539831,0.44234059999871533
Mk01-101-0,Mk01,explore,0,101,2,round,96,96,0.14849001365996223,37,65,0.006335499994747806,0.14521320000494597
Mk01-101-0,Mk01,explore,0,101,2,stop,96,96,0.15725415877506735,25,90,0.004300000015064143,0.10637030000361847
Mk01-101-0,Mk01,explore,0,101,2,feedback,96,96,0.1547257139456244,30,82,0.005237000004854053,0.12498509999568341
Mk01-101-9,Mk01,explore,9,101,0,fixed,96,96,0.12603090179676507,25,96,0.004345100009231828,0.11188290000427514
Mk01-101-9,Mk01,explore,9,101,0,round,96,96,0.07996994976013685,37,66,0.006699800032947678,0.13962240000546444
Mk01-101-9,Mk01,explore,9,101,0,stop,96,96,0.10905066945061757,28,84,0.004762500022479799,0.11089280000305735
Mk01-101-9,Mk01,explore,9,101,0,feedback,96,96,0.14843386443502665,29,85,0.004968000001099426,0.11360260000219569
Mk01-101-9,Mk01,explore,9,101,1,fixed,94,96,0.15267589162225823,96,94,0.017361800055368803,0.28567750000365777
Mk01-101-9,Mk01,explore,9,101,1,round,96,96,0.03581196340794115,37,70,0.00654419997590594,0.1469507000001613
Mk01-101-9,Mk01,explore,9,101,1,stop,96,96,0.13702825855258094,29,84,0.004830600002605934,0.11342050000530435
Mk01-101-9,Mk01,explore,9,101,1,feedback,96,96,0.09656140130686246,30,87,0.005284599996230099,0.12133660000108648
Mk01-101-9,Mk01,explore,9,101,2,fixed,96,96,0.1439523054795307,24,96,0.00396069999987958,0.09993140000005951
Mk01-101-9,Mk01,explore,9,101,2,round,96,96,0.027778494248517964,37,64,0.006389200010744389,0.14448750000155997
Mk01-101-9,Mk01,explore,9,101,2,stop,96,96,0.1439523054795307,24,93,0.00412930001039058,0.09802720000152476
Mk01-101-9,Mk01,explore,9,101,2,feedback,96,96,0.07542165501595376,30,85,0.005054900029790588,0.12579510000068694
Mk01-101-19,Mk01,explore,19,101,0,fixed,88,96,0.09197827748187265,96,88,0.016713999975763727,0.4491478000054485
Mk01-101-19,Mk01,explore,19,101,0,round,96,96,0.08936673247433881,39,68,0.006410100024368148,0.1423856999972486
Mk01-101-19,Mk01,explore,19,101,0,stop,96,96,0.08310762720879948,30,79,0.004840200017497409,0.11277429999609012
Mk01-101-19,Mk01,explore,19,101,0,feedback,96,96,0.06379886977448385,32,86,0.0058572999987518415,0.1376206999993883
Mk01-101-19,Mk01,explore,19,101,1,fixed,49,96,0.06282524251854105,96,49,0.01935480001702672,0.49440349999349564
Mk01-101-19,Mk01,explore,19,101,1,round,95,96,0.10708966808504128,37,69,0.006633500015595928,0.15139649999764515
Mk01-101-19,Mk01,explore,19,101,1,stop,96,96,0.07639488372790668,29,82,0.005000699995434843,0.11745050000172341
Mk01-101-19,Mk01,explore,19,101,1,feedback,96,96,0.09657910424937748,31,88,0.0056094999963534065,0.12380959999427432
Mk01-101-19,Mk01,explore,19,101,2,fixed,65,96,0.08731753844441421,96,65,0.01814709998870967,0.47267270000156714
Mk01-101-19,Mk01,explore,19,101,2,round,96,96,0.08070913799477226,37,65,0.00679239998862613,0.1438023999944562
Mk01-101-19,Mk01,explore,19,101,2,stop,96,96,0.08969187022797213,28,79,0.005096300010336563,0.11600170000019716
Mk01-101-19,Mk01,explore,19,101,2,feedback,96,96,0.09370456623130433,31,86,0.0053699999989476055,0.14606710000225576
Mk01-202-0,Mk01,explore,0,202,0,fixed,78,96,0.027794605076240222,96,78,0.01771119995828485,0.46195820000139065
Mk01-202-0,Mk01,explore,0,202,0,round,96,96,0.13996901296391098,37,68,0.006581400011782534,0.14887170000292826
Mk01-202-0,Mk01,explore,0,202,0,stop,96,96,0.08447486381555198,25,90,0.0045964000091771595,0.1088958000036655
Mk01-202-0,Mk01,explore,0,202,0,feedback,96,96,0.16796540450361164,31,81,0.005208300004596822,0.12643869999737944
Mk01-202-0,Mk01,explore,0,202,1,fixed,76,96,0.027794605076240222,96,76,0.01664189999428345,0.45141440000588773
Mk01-202-0,Mk01,explore,0,202,1,round,96,96,0.0949157450769282,37,69,0.006572800004505552,0.14828850000048988
Mk01-202-0,Mk01,explore,0,202,1,stop,96,96,0.05566590134741712,25,91,0.0046877000204403885,0.11254989999724785
Mk01-202-0,Mk01,explore,0,202,1,feedback,96,96,0.08830686470194053,37,68,0.00666569996974431,0.1428747000027215
