state,instance,split,seed,generation,population_index,fraction,n,rep,group,rng_seed,feature_seconds_all_groups,attempts,evaluated,outside,noop,duplicate,decodes,gain,gain_per_decode,gain_per_budget,wall_seconds
Mk01-101-0,Mk01,explore,101,0,10,0.25,2,1,L,1799740749815687894,0.0004095999975106679,320,0,319,1,0,0,0.0,,0.0,0.010286099997756537
Mk01-101-0,Mk01,explore,101,0,10,0.25,2,2,R,11069395938400872051,0.0004030999989481643,320,0,320,0,0,0,0.0,,0.0,0.010453399998368695
Mk01-101-0,Mk01,explore,101,0,10,0.25,2,2,S,11069395938400872051,0.0004030999989481643,320,0,320,0,0,0,0.0,,0.0,0.011298799996438902
Mk01-101-0,Mk01,explore,101,0,10,0.25,2,2,A,11069395938400872051,0.0004030999989481643,320,0,320,0,0,0,0.0,,0.0,0.009947799997462425
Mk01-101-0,Mk01,explore,101,0,10,0.25,2,2,C,11069395938400872051,0.0004030999989481643,320,0,320,0,0,0,0.0,,0.0,0.01052229999913834
Mk01-101-0,Mk01,explore,101,0,10,0.25,2,2,W,11069395938400872051,0.0004030999989481643,320,0,320,0,0,0,0.0,,0.0,0.0106554000012693
Mk01-101-0,Mk01,explore,101,0,10,0.25,2,2,L,11069395938400872051,0.0004030999989481643,320,0,320,0,0,0,0.0,,0.0,0.009932500004651956
Mk01-101-0,Mk01,explore,101,0,10,0.25,3,0,R,2607593753275373419,0.0003991999983554706,54,8,38,0,8,8,0.001341744356134664,0.000167718044516833,0.000167718044516833,0.008339699998032302
Mk01-101-0,Mk01,explore,101,0,10,0.25,3,0,S,2607593753275373419,0.0003991999983554706,96,8,75,0,13,8,0.008948851357711464,0.001118606419713933,0.001118606419713933,0.008720800004084595
Mk01-101-0,Mk01,explore,101,0,10,0.25,3,0,A,2607593753275373419,0.0003991999983554706,33,8,24,0,1,8,0.010929710334361692,0.0013662137917952114,0.0013662137917952114,0.007576699994388036
Mk01-101-0,Mk01,explore,101,0,10,0.25,3,0,C,2607593753275373419,0.0003991999983554706,82,8,67,0,7,8,0.010929710334361692,0.0013662137917952114,0.0013662137917952114,0.008433499999227934
Mk01-101-0,Mk01,explore,101,0,10,0.25,3,0,W,2607593753275373419,0.0003991999983554706,35,8,26,0,1,8,0.01515938659227715,0.0018949233240346437,0.0018949233240346437,0.007808300004398916
Mk01-101-0,Mk01,explore,101,0,10,0.25,3,0,L,2607593753275373419,0.0003991999983554706,13,8,5,0,0,8,0.01515938659227715,0.0018949233240346437,0.0018949233240346437,0.0067445000022416934
Mk01-101-0,Mk01,explore,101,0,10,0.25,3,1,R,8941446366896886547,0.00039819999801693484,28,8,19,0,1,8,0.0012793911477383558,0.00015992389346729447,0.00015992389346729447,0.00782949999847915
Mk01-101-0,Mk01,explore,101,0,10,0.25,3,1,S,8941446366896886547,0.00039819999801693484,30,8,22,0,0,8,0.009013177364647866,0.0011266471705809833,0.0011266471705809833,0.0071704999936628155
Mk01-101-0,Mk01,explore,101,0,10,0.25,3,1,A,8941446366896886547,0.00039819999801693484,36,8,27,0,1,8,0.010929710334361692,0.0013662137917952114,0.0013662137917952114,0.007870299996284302
Mk01-101-0,Mk01,explore,101,0,10,0.25,3,1,C,8941446366896886547,0.00039819999801693484,32,8,24,0,0,8,0.010929710334361692,0.0013662137917952114,0.0013662137917952114,0.007192199998826254
Mk01-101-0,Mk01,explore,101,0,10,0.25,3,1,W,8941446366896886547,0.00039819999801693484,34,8,25,0,1,8,0.010929710334361692,0.0013662137917952114,0.0013662137917952114,0.007704100004048087
Mk01-101-0,Mk01,explore,101,0,10,0.25,3,1,L,8941446366896886547,0.00039819999801693484,75,8,62,0,5,8,0.019641889549439198,0.0024552361936798998,0.0024552361936798998,0.008602300003985874
Mk01-101-0,Mk01,explore,101,0,10,0.25,3,2,R,13513008415393168437,0.00039730000571580604,129,8,105,0,16,8,0.008948851357711464,0.001118606419713933,0.001118606419713933,0.010399200000392739
Mk01-101-0,Mk01,explore,101,0,10,0.25,3,2,S,13513008415393168437,0.00039730000571580604,80,8,64,0,8,8,0.005365602758446709,0.0006707003448058386,0.0006707003448058386,0.008491200002026744
Mk01-101-0,Mk01,explore,101,0,10,0.25,3,2,A,13513008415393168437,0.00039730000571580604,40,8,29,0,3,8,0.010929710334361692,0.0013662137917952114,0.0013662137917952114,0.007781699998304248
Mk01-101-0,Mk01,explore,101,0,10,0.25,3,2,C,13513008415393168437,0.00039730000571580604,55,8,44,0,3,8,0.010929710334361692,0.0013662137917952114,0.0013662137917952114,0.007919100004073698
Mk01-101-0,Mk01,explore,101,0,10,0.25,3,2,W,13513008415393168437,0.00039730000571580604,66,8,49,0,9,8,0.019641889549439198,0.0024552361936798998,0.0024552361936798998,0.008401800005231053
Mk01-101-0,Mk01,explore,101,0,10,0.25,3,2,L,13513008415393168437,0.00039730000571580604,40,8,29,0,3,8,0.019641889549439198,0.0024552361936798998,0.0024552361936798998,0.007550700000138022
Mk01-101-0,Mk01,explore,101,0,10,0.25,4,0,R,10021893449756127752,0.0005099999980302528,5,2,1,0,2,7,8.818432012243187e-05,1.2597760017490267e-05,1.1023040015303983e-05,0.0047774999984540045
Mk01-101-0,Mk01,explore,101,0,10,0.25,4,0,S,10021893449756127752,0.0005099999980302528,5,2,1,0,2,7,8.818432012243187e-05,1.2597760017490267e-05,1.1023040015303983e-05,0.004566699994029477
Mk01-101-0,Mk01,explore,101,0,10,0.25,4,0,A,10021893449756127752,0.0005099999980302528,6,1,4,0,1,7,8.818432012243187e-05,1.2597760017490267e-05,1.1023040015303983e-05,0.004337699996540323
Mk01-101-0,Mk01,explore,101,0,10,0.25,4,0,C,10021893449756127752,0.0005099999980302528,6,1,4,0,1,7,8.818432012243187e-05,1.2597760017490267e-05,1.1023040015303983e-05,0.004755399997520726
Mk01-101-0,Mk01,explore,101,0,10,0.25,4,0,W,10021893449756127752,0.0005099999980302528,7,0,7,0,0,7,0.0,0.0,0.0,0.004134899994824082
Mk01-101-0,Mk01,explore,101,0,10,0.25,4,0,L,10021893449756127752,0.0005099999980302528,7,0,7,0,0,7,0.0,0.0,0.0,0.004127899999730289
Mk01-101-0,Mk01,explore,101,0,10,0.25,4,1,R,11957686921564354870,0.00039120000292314216,5,2,3,0,0,7,0.004098850291927476,0.0005855500417039251,0.0005123562864909345,0.0046571999992011115
Mk01-101-0,Mk01,explore,101,0,10,0.25,4,1,S,11957686921564354870,0.00039120000292314216,5,3,2,0,0,8,0.0,0.0,0.0,0.005660199996782467
Mk01-101-0,Mk01,explore,101,0,10,0.25,4,1,A,11957686921564354870,0.00039120000292314216,7,0,7,0,0,7,0.0,0.0,0.0,0.004133000002184417
Mk01-101-0,Mk01,explore,101,0,10,0.25,4,1,C,11957686921564354870,0.00039120000292314216,6,1,5,0,0,7,0.0,0.0,0.0,0.004327000002376735
Mk01-101-0,Mk01,explore,101,0,10,0.25,4,1,W,11957686921564354870,0.00039120000292314216,7,0,7,0,0,7,0.0,0.0,0.0,0.004494100001465995
Mk01-101-0,Mk01,explore,101,0,10,0.25,4,1,L,11957686921564354870,0.00039120000292314216,7,0,7,0,0,7,0.0,0.0,0.0,0.004123499995330349
Mk01-101-0,Mk01,explore,101,0,10,0.25,4,2,R,3124149455067922545,0.0003956000000471249,6,1,5,0,0,7,0.0,0.0,0.0,0.0043656999987433665
Mk01-101-0,Mk01,explore,101,0,10,0.25,4,2,S,3124149455067922545,0.0003956000000471249,5,2,2,0,1,7,8.818432012243187e-05,1.2597760017490267e-05,1.1023040015303983e-05,0.004549000004772097
Mk01-101-0,Mk01,explore,101,0,10,0.25,4,2,A,3124149455067922545,0.0003956000000471249,6,1,5,0,0,7,8.818432012243187e-05,1.2597760017490267e-05,1.1023040015303983e-05,0.0046249000006355345
Mk01-101-0,Mk01,explore,101,0,10,0.25,4,2,C,3124149455067922545,0.0003956000000471249,5,2,2,0,1,7,8.818432012243187e-05,1.2597760017490267e-05,1.1023040015303983e-05,0.00482959999499144
Mk01-101-0,Mk01,explore,101,0,10,0.25,4,2,W,3124149455067922545,0.0003956000000471249,7,0,7,0,0,7,0.0,0.0,0.0,0.004073500000231434
Mk01-101-0,Mk01,explore,101,0,10,0.25,4,2,L,3124149455067922545,0.0003956000000471249,7,0,7,0,0,7,0.0,0.0,0.0,0.005139100001542829
Mk01-101-0,Mk01,explore,101,0,10,0.25,5,0,R,7065681514930813205,0.0004578000007313676,26,8,17,0,1,8,0.017016812946164632,0.002127101618270579,0.002127101618270579,0.006946800000150688
Mk01-101-0,Mk01,explore,101,0,10,0.25,5,0,S,7065681514930813205,0.0004578000007313676,26,8,17,0,1,8,0.019390675162505457,0.002423834395313182,0.002423834395313182,0.007110599995939992
Mk01-101-0,Mk01,explore,101,0,10,0.25,5,0,A,7065681514930813205,0.0004578000007313676,39,8,30,0,1,8,0.017057012703009723,0.0021321265878762154,0.0021321265878762154,0.008179799995559733
Mk01-101-0,Mk01,explore,101,0,10,0.25,5,0,C,7065681514930813205,0.0004578000007313676,39,8,29,0,2,8,0.019390675162505457,0.002423834395313182,0.002423834395313182,0.007063400000333786
Mk01-101-0,Mk01,explore,101,0,10,0.25,5,0,W,7065681514930813205,0.0004578000007313676,52,8,42,0,2,8,0.01965079123620901,0.0024563489045261264,0.0024563489045261264,0.008335500002431218
Mk01-101-0,Mk01,explore,101,0,10,0.25,5,0,L,7065681514930813205,0.0004578000007313676,28,8,18,0,2,8,0.019684635900635128,0.002460579487579391,0.002460579487579391,0.006881499997689389
Mk01-101-0,Mk01,explore,101,0,10,0.25,5,1,R,17030853037537132519,0.0008569000056013465,11,8,3,0,0,8,0.013530433800463459,0.0016913042250579324,0.0016913042250579324,0.0073188999958802015
Mk01-101-0,Mk01,explore,101,0,10,0.25,5,1,S,17030853037537132519,0.0008569000056013465,21,8,12,0,1,8,0.01949107625163251,0.0024363845314540637,0.0024363845314540637,0.006657999998424202
Mk01-101-0,Mk01,explore,101,0,10,0.25,5,1,A,17030853037537132519,0.0008569000056013465,27,8,18,0,1,8,0.020309259538009196,0.0025386574422511495,0.0025386574422511495,0.007539600002928637
Mk01-101-0,Mk01,explore,101,0,10,0.25,5,1,C,17030853037537132519,0.0008569000056013465,25,8,16,0,1,8,0.02025515794673966,0.0025318947433424577,0.0025318947433424577,0.006782299999031238
Mk01-101-0,Mk01,explore,101,0,10,0.25,5,1,W,17030853037537132519,0.0008569000056013465,54,8,42,0,4,8,0.014024670639242563,0.0017530838299053204,0.0017530838299053204,0.008278700006485451
Mk01-101-0,Mk01,explore,101,0,10,0.25,5,1,L,17030853037537132519,0.0008569000056013465,25,8,17,0,0,8,0.01646562321899532,0.002058202902374415,0.002058202902374415,0.006887200004712213
Mk01-101-0,Mk01,explore,101,0,10,0.25,5,2,R,11173523613141322042,0.0003966000003856607,26,8,16,0,2,8,0.0225355527966834,0.002816944099585425,0.002816944099585425,0.007906400001957081
Mk01-101-0,Mk01,explore,101,0,10,0.25,5,2,S,11173523613141322042,0.0003966000003856607,26,8,15,0,3,8,0.013917668042489775,0.0017397085053112219,0.0017397085053112219,0.00694389999989653
Mk01-101-0,Mk01,explore,101,0,10,0.25,5,2,A,11173523613141322042,0.0003966000003856607,40,8,31,0,1,8,0.017016812946164632,0.002127101618270579,0.002127101618270579,0.007791500000166707
Mk01-101-0,Mk01,explore,101,0,10,0.25,5,2,C,11173523613141322042,0.0003966000003856607,39,8,27,0,4,8,0.01356182067037034,0.0016952275837962924,0.0016952275837962924,0.0072422999946866184
Mk01-101-0,Mk01,explore,101,0,10,0.25,5,2,W,11173523613141322042,0.0003966000003856607,40,8,32,0,0,8,0.013136177858951244,0.0016420222323689055,0.0016420222323689055,0.007913599998573773
Mk01-101-0,Mk01,explore,101,0,10,0.25,5,2,L,11173523613141322042,0.0003966000003856607,33,8,23,0,2,8,0.017016812946164632,0.002127101618270579,0.002127101618270579,0.007102900002792012
Mk01-101-0,Mk01,explore,101,0,10,0.25,6,0,R,14283355467250569895,0.0003969999961555004,6,1,0,0,5,7,2.2551405187698492e-17,3.221629312528356e-18,2.8189256484623115e-18,0.0045193999976618215
Mk01-101-0,Mk01,explore,101,0,10,0.25,6,0,S,14283355467250569895,0.0003969999961555004,6,1,0,0,5,7,2.2551405187698492e-17,3.221629312528356e-18,2.8189256484623115e-18,0.004656800003431272
Mk01-101-0,Mk01,explore,101,0,10,0.25,6,0,A,14283355467250569895,0.0003969999961555004,6,1,0,0,5,7,2.2551405187698492e-17,3.221629312528356e-18,2.8189256484623115e-18,0.004369499998574611
Mk01-101-0,Mk01,explore,101,0,10,0.25,6,0,C,14283355467250569895,0.0003969999961555004,6,1,0,0,5,7,2.2551405187698492e-17,3.221629312528356e-18,2.8189256484623115e-18,0.0043700000023818575
Mk01-101-0,Mk01,explore,101,0,10,0.25,6,0,W,14283355467250569895,0.0003969999961555004,7,0,7,0,0,7,0.0,0.0,0.0,0.004629900002328213
Mk01-101-0,Mk01,explore,101,0,10,0.25,6,0,L,14283355467250569895,0.0003969999961555004,6,1,0,0,5,7,2.2551405187698492e-17,3.221629312528356e-18,2.8189256484623115e-18,0.004357099998742342
Mk01-101-0,Mk01,explore,101,0,10,0.25,6,1,R,11188146548007959103,0.00039449999894713983,6,1,0,0,5,7,2.2551405187698492e-17,3.221629312528356e-18,2.8189256484623115e-18,0.004369499998574611
Mk01-101-0,Mk01,explore,101,0,10,0.25,6,1,S,11188146548007959103,0.00039449999894713983,6,1,0,0,5,7,2.2551405187698492e-17,3.221629312528356e-18,2.8189256484623115e-18,0.004679400000895839
Mk01-101-0,Mk01,explore,101,0,10,0.25,6,1,A,11188146548007959103,0.00039449999894713983,6,1,0,0,5,7,2.2551405187698492e-17,3.221629312528356e-18,2.8189256484623115e-18,0.005024300000513904
Mk01-101-0,Mk01,explore,101,0,10,0.25,6,1,C,11188146548007959103,0.00039449999894713983,6,1,0,0,5,7,2.2551405187698492e-17,3.221629312528356e-18,2.8189256484623115e-18,0.00437919999967562
Mk01-101-0,Mk01,explore,101,0,10,0.25,6,1,W,11188146548007959103,0.00039449999894713983,7,0,7,0,0,7,0.0,0.0,0.0,0.004164999998465646
Mk01-101-0,Mk01,explore,101,0,10,0.25,6,1,L,11188146548007959103,0.00039449999894713983,6,1,0,0,5,7,2.2551405187698492e-17,3.221629312528356e-18,2.8189256484623115e-18,0.004960800004482735
Mk01-101-0,Mk01,explore,101,0,10,0.25,6,2,R,2419321177885460419,0.0004140999953961,7,0,7,0,0,7,0.0,0.0,0.0,0.004180299998552073
Mk01-101-0,Mk01,explore,101,0,10,0.25,6,2,S,2419321177885460419,0.0004140999953961,6,1,0,0,5,7,2.2551405187698492e-17,3.221629312528356e-18,2.8189256484623115e-18,0.004363000000012107
Mk01-101-0,Mk01,explore,101,0,10,0.25,6,2,A,2419321177885460419,0.0004140999953961,6,1,0,0,5,7,2.2551405187698492e-17,3.221629312528356e-18,2.8189256484623115e-18,0.0043667999998433515
Mk01-101-0,Mk01,explore,101,0,10,0.25,6,2,C,2419321177885460419,0.0004140999953961,6,1,0,0,5,7,2.2551405187698492e-17,3.221629312528356e-18,2.8189256484623115e-18,0.004820300004212186
Mk01-101-0,Mk01,explore,101,0,10,0.25,6,2,W,2419321177885460419,0.0004140999953961,7,0,7,0,0,7,0.0,0.0,0.0,0.004167600003711414
Mk01-101-0,Mk01,explore,101,0,10,0.25,6,2,L,2419321177885460419,0.0004140999953961,6,1,0,0,5,7,2.2551405187698492e-17,3.221629312528356e-18,2.8189256484623115e-18,0.004363800006103702
Mk01-101-0,Mk01,explore,101,0,10,0.5,1,0,R,12786368997530810769,0.0004015000013168901,320,5,311,2,2,5,0.015679409316029527,0.0031358818632059053,0.001959926164503691,0.012316300002567004
Mk01-101-0,Mk01,explore,101,0,10,0.5,1,0,S,12786368997530810769,0.0004015000013168901,320,2,315,2,1,2,0.0,0.0,0.0,0.011223100002098363
Mk01-101-0,Mk01,explore,101,0,10,0.5,1,0,A,12786368997530810769,0.0004015000013168901,320,3,314,2,1,3,0.013561400989726516,0.004520466996575505,0.0016951751237158144,0.010227899998426437
Mk01-101-0,Mk01,explore,101,0,10,0.5,1,0,C,12786368997530810769,0.0004015000013168901,320,2,316,2,0,2,0.013561400989726516,0.006780700494863258,0.0016951751237158144,0.010022100002970546
Mk01-101-0,Mk01,explore,101,0,10,0.5,1,0,W,12786368997530810769,0.0004015000013168901,320,4,314,2,0,4,0.013926032230840773,0.0034815080577101933,0.0017407540288550967,0.011402500000258442
Mk01-101-0,Mk01,explore,101,0,10,0.5,1,0,L,12786368997530810769,0.0004015000013168901,320,7,310,2,1,7,0.0175385912643961,0.0025055130377708715,0.0021923239080495127,0.0133066000053077
Mk01-101-0,Mk01,explore,101,0,10,0.5,1,1,R,14951186543059130062,0.0005030000029364601,195,8,186,0,1,8,0.022145420547059196,0.0027681775683823994,0.0027681775683823994,0.011311200003547128
Mk01-101-0,Mk01,explore,101,0,10,0.5,1,1,S,14951186543059130062,0.0005030000029364601,320,6,314,0,0,6,0.008988504654633462,0.001498084109105577,0.0011235630818291827,0.013255199999548495
Mk01-101-0,Mk01,explore,101,0,10,0.5,1,1,A,14951186543059130062,0.0005030000029364601,207,8,198,0,1,8,0.009834483494341116,0.0012293104367926396,0.0012293104367926396,0.011947099999815691
Mk01-101-0,Mk01,explore,101,0,10,0.5,1,1,C,14951186543059130062,0.0005030000029364601,314,8,304,0,2,8,0.01424039761068808,0.00178004970133601,0.00178004970133601,0.015003600005002227
Mk01-101-0,Mk01,explore,101,0,10,0.5,1,1,W,14951186543059130062,0.0005030000029364601,314,8,306,0,0,8,0.013561400989726516,0.0016951751237158144,0.0016951751237158144,0.014397799997823313
Mk01-101-0,Mk01,explore,101,0,10,0.5,1,1,L,14951186543059130062,0.0005030000029364601,320,5,315,0,0,5,0.013561400989726516,0.002712280197945303,0.0016951751237158144,0.011871699993207585
Mk01-101-0,Mk01,explore,101,0,10,0.5,1,2,R,4946144930872295661,0.0004053999946336262,320,4,313,3,0,4,4.9966683053851574e-05,1.2491670763462893e-05,6.245835381731447e-06,0.011228299998037983
Mk01-101-0,Mk01,explore,101,0,10,0.5,1,2,S,4946144930872295661,0.0004053999946336262,320,4,313,3,0,4,0.008988504654633462,0.0022471261636583654,0.0011235630818291827,0.011404400000174064
Mk01-101-0,Mk01,explore,101,0,10,0.5,1,2,A,4946144930872295661,0.0004053999946336262,320,4,313,3,0,4,0.009834483494341116,0.002458620873585279,0.0012293104367926396,0.010839199996553361
