state_id,held_out_event_time,time_limit,predicted_action,predicted_actual_gain,predicted_actual_time,fixed_action,fixed_actual_gain,fixed_actual_time,oracle_action,oracle_actual_gain,oracle_actual_time,prediction_beats_fixed
T100_M1,100.0,0.1924798012496649,K5_B50,0.45999999999999996,0.10981467999954475,K5_B50,0.45999999999999996,0.10981467999954475,K5_B50,0.45999999999999996,0.10981467999954475,False
T100_M4,100.0,0.1924798012496649,K5_B50,0.45999999999999996,0.125459039999987,K5_B50,0.45999999999999996,0.125459039999987,K5_B50,0.45999999999999996,0.125459039999987,False
T743.13_M1,743.13,0.17093945000002353,K5_B50,0.628,0.1558398399996804,K5_B50,0.628,0.1558398399996804,K5_B50,0.628,0.1558398399996804,False
T743.13_M4,743.13,0.17093945000002353,K5_B50,0.628,0.14795149999990825,K5_B50,0.628,0.14795149999990825,K5_B50,0.628,0.14795149999990825,False
T1486.26_M1,1486.26,0.15326650624985635,K5_B10,0.0,0.06599746000138111,K5_B50,0.0,0.1895479400001932,K10_B10,0.0,0.03778663999837591,False
T1486.26_M4,1486.26,0.15326650624985635,K5_B10,0.0,0.035889079999469685,K5_B50,0.0,0.19037111999932677,K10_B10,0.0,0.04450261999882059,False
